Filename	Label	seg_Start	seg_End	t_ms	CPP	Energy	HNR05	soe	
03_hemp.mat	"m"	1101.813	1206.164	1102.000	14.839	0.669	10.277	NA	
03_hemp.mat	"m"	1101.813	1206.164	1103.000	14.409	0.751	8.801	NA	
03_hemp.mat	"m"	1101.813	1206.164	1104.000	13.361	0.776	6.111	NA	
03_hemp.mat	"m"	1101.813	1206.164	1105.000	14.306	0.854	8.528	NA	
03_hemp.mat	"m"	1101.813	1206.164	1106.000	14.169	0.876	6.812	0.006	
03_hemp.mat	"m"	1101.813	1206.164	1107.000	13.795	0.879	5.426	NA	
03_hemp.mat	"m"	1101.813	1206.164	1108.000	14.970	0.881	4.597	NA	
03_hemp.mat	"m"	1101.813	1206.164	1109.000	15.835	0.920	6.975	NA	
03_hemp.mat	"m"	1101.813	1206.164	1110.000	16.361	1.050	4.772	NA	
03_hemp.mat	"m"	1101.813	1206.164	1111.000	16.122	1.093	5.198	NA	
03_hemp.mat	"m"	1101.813	1206.164	1112.000	16.959	1.128	3.706	NA	
03_hemp.mat	"m"	1101.813	1206.164	1113.000	17.705	1.200	7.724	0.021	
03_hemp.mat	"m"	1101.813	1206.164	1114.000	17.288	1.224	2.630	NA	
03_hemp.mat	"m"	1101.813	1206.164	1115.000	16.479	1.229	0.728	NA	
03_hemp.mat	"m"	1101.813	1206.164	1116.000	17.892	1.230	5.212	NA	
03_hemp.mat	"m"	1101.813	1206.164	1117.000	18.715	1.235	5.385	NA	
03_hemp.mat	"m"	1101.813	1206.164	1118.000	17.089	1.244	7.703	NA	
03_hemp.mat	"m"	1101.813	1206.164	1119.000	17.083	1.246	7.151	NA	
03_hemp.mat	"m"	1101.813	1206.164	1120.000	18.993	1.304	4.047	NA	
03_hemp.mat	"m"	1101.813	1206.164	1121.000	16.217	1.498	5.519	0.020	
03_hemp.mat	"m"	1101.813	1206.164	1122.000	17.859	1.539	6.259	NA	
03_hemp.mat	"m"	1101.813	1206.164	1123.000	19.332	1.601	5.605	NA	
03_hemp.mat	"m"	1101.813	1206.164	1124.000	16.757	1.671	7.101	NA	
03_hemp.mat	"m"	1101.813	1206.164	1125.000	18.382	1.689	6.910	NA	
03_hemp.mat	"m"	1101.813	1206.164	1126.000	18.058	1.689	3.442	NA	
03_hemp.mat	"m"	1101.813	1206.164	1127.000	18.264	1.681	3.568	NA	
03_hemp.mat	"m"	1101.813	1206.164	1128.000	16.120	1.683	2.984	NA	
03_hemp.mat	"m"	1101.813	1206.164	1129.000	17.210	1.679	4.449	0.021	
03_hemp.mat	"m"	1101.813	1206.164	1130.000	16.044	1.696	3.179	NA	
03_hemp.mat	"m"	1101.813	1206.164	1131.000	15.711	1.891	4.876	NA	
03_hemp.mat	"m"	1101.813	1206.164	1132.000	16.711	1.924	4.451	NA	
03_hemp.mat	"m"	1101.813	1206.164	1133.000	15.814	1.963	3.490	NA	
03_hemp.mat	"m"	1101.813	1206.164	1134.000	17.548	1.911	2.733	NA	
03_hemp.mat	"m"	1101.813	1206.164	1135.000	14.871	1.906	6.186	NA	
