Filename	word	vowel	F1	F2	F3	Duration	Timepoint	VowelPercent	MeasType
25_add	Unlabeled	ia	352.9434656261512	2242.4767851487263	2278.6567487527523	352	1	0	auto
25_add	Unlabeled	ia	469.7399005354494	748.5502380866964	1767.7569871088358	352	2	9.09	auto
25_add	Unlabeled	ia	640.1229525740996	738.1004263699706	2015.2309669020924	352	3	18.18	auto
25_add	Unlabeled	ia	777.4162452537937	825.4605144672487	1787.5095245455175	352	4	27.27	auto
25_add	Unlabeled	ia	790.7297215530274	1389.555628540753	2034.3762726797368	352	5	36.36	auto
25_add	Unlabeled	ia	942.5805165345727	1532.1676042511167	2018.5215133246845	352	6	45.45	auto
25_add	Unlabeled	ia	494.11496857923095	1184.5109159627777	1843.9850928255667	352	7	54.55	auto
25_add	Unlabeled	ia	445.58142412608345	911.9589341503164	1542.116337655714	352	8	63.64	auto
25_add	Unlabeled	ia	402.3131993768064	873.1748564009227	1555.0830288012846	352	9	72.73	auto
25_add	Unlabeled	ia	885.8989093441868	1530.602332501057	1806.0957402810607	352	10	81.82	auto
25_add	Unlabeled	ia	857.0550922348508	1561.3977704843735	2208.099035527453	352	11	90.91	auto
25_add	Unlabeled	ia	949.1027032195996	1575.9902830973183	2115.366037597699	352	12	100.00	auto
26_dig	Unlabeled	ua	355.0345717623301	827.146789990042	1975.4230236362014	412	1	0	auto
26_dig	Unlabeled	ua	362.6908599253907	807.358877216454	1834.7957110183843	412	2	9.09	auto
26_dig	Unlabeled	ua	543.0755554947733	821.7913392733524	1563.3747449192915	412	3	18.18	auto
26_dig	Unlabeled	ua	779.2239589634131	1034.9148228269305	1951.4881021991298	412	4	27.27	auto
26_dig	Unlabeled	ua	866.4807168282142	1209.031009465541	1774.522938217949	412	5	36.36	auto
26_dig	Unlabeled	ua	806.6067749352443	1227.0582749471355	1853.5457145310997	412	6	45.45	auto
26_dig	Unlabeled	ua	884.4130615366622	1440.4763702491064	1681.1665040736905	412	7	54.55	auto
26_dig	Unlabeled	ua	577.0996499870012	941.4368765082055	1485.5030380066748	412	8	63.64	auto
26_dig	Unlabeled	ua	937.2620465853971	1436.890815149779	2084.777621751759	412	9	72.73	auto
26_dig	Unlabeled	ua	933.7444409183121	1471.9123196870016	2027.749558305366	412	10	81.82	auto
26_dig	Unlabeled	ua	830.6824595100157	1411.5446862380204	1836.3657434236486	412	11	90.91	auto
26_dig	Unlabeled	ua	126.7813789196689	947.1225486190999	1501.1120618510658	412	12	100.00	auto
27_leaf	Unlabeled	iɛ	238.61404767311132	1949.7480479639871	2343.9045236583056	431	1	0	auto
27_leaf	Unlabeled	iɛ	272.94604607874714	2148.3712151269815	2361.8103444955204	431	2	9.09	auto
27_leaf	Unlabeled	iɛ	277.62957116385417	528.5748528915806	2213.6297258653317	431	3	18.18	auto
27_leaf	Unlabeled	iɛ	330.09613341563346	505.5079911901582	2301.091561727175	431	4	27.27	auto
27_leaf	Unlabeled	iɛ	354.4106832629634	803.441327990685	2073.4005064976714	431	5	36.36	auto
27_leaf	Unlabeled	iɛ	374.9308789418429	680.0535581705244	2278.978740557255	431	6	45.45	auto
27_leaf	Unlabeled	iɛ	424.12664779924773	460.54222433727324	2258.2995537245815	431	7	54.55	auto
27_leaf	Unlabeled	iɛ	435.03670294168944	553.2667483761868	2322.521411463546	431	8	63.64	auto
27_leaf	Unlabeled	iɛ	402.9002791840203	514.7923420139819	2326.8608560739726	431	9	72.73	auto
27_leaf	Unlabeled	iɛ	518.1236904776139	1338.5487407082082	2328.1734602898723	431	10	81.82	auto
27_leaf	Unlabeled	iɛ	509.0387344098331	1717.2167948877225	2354.996563008877	431	11	90.91	auto
27_leaf	Unlabeled	iɛ	496.58313356764216	1608.5645738908725	2213.85660844999	431	12	100.00	auto
