Filename	Segment label	Start (s)	End (s)	Duration (s)	Mean pitch (Hz)	F0_1	F0_2	F0_3	F0_4	F0_5	F0_6	F0_7	F0_8	F0_9	F0_10	F0_11	F0_12	F0_13	F0_14	F0_15	F0_16	F0_17	F0_18	F0_19	F0_20
01_stem	T1	0.9094	1.1602	0.2507	124.47719890908454	119.26005832248563	118.9827360304807	117.21221489927707	116.5975199039735	116.21567650161111	115.62883238787296	115.66016669094054	116.16739800810157	116.13734831279577	116.97824716540426	118.8390396536849	121.42905237170847	123.54403473450031	126.67131900818316	129.92164070762854	133.59657512261563	137.3934350355573	141.7276828713179	147.45423949299996	151.29447450438613
02_crawl	T2	1.5635	1.7654	0.2019	117.5699858425775	149.6752182865135	132.16223140369615	128.49524410107858	126.74835058101755	125.97569855745617	124.78273368414956	123.00740215635541	121.91736357297223	119.80551859814685	117.30480873376027	115.19842283823878	113.89539279242764	112.45162433420352	111.2091384947272	109.4335941900321	108.09003300477708	106.51248907367614	106.38393809134965	106.08052394344854	105.14211075933777
03_hemp	T2	1.2074	1.4913	0.2839	109.59291310463911	121.16138103611762	117.15489397315203	115.66929631907666	115.03328863865298	116.1609840278712	117.3708843133447	117.07769584888031	116.02513445804043	115.4622455018516	112.92841076728224	110.47310337559081	108.57418651440928	105.56127597780885	105.30439014493368	103.11782365153766	101.63527502569744	100.88521964364429	100.09738748168247	96.9309999999227	96.0653555290144
04_tiger	T4	0.8986	1.1855	0.2869	145.58678270974815	166.46110066802265	164.00863135284035	164.6935815491556	166.14495503957372	169.3326813658162	170.80136828271708	169.88400522432266	167.85654607560218	166.03544635929612	163.09553324441276	157.22095885634315	148.40190040138114	138.31275426928696	128.92537354188508	120.50857437421274	113.75355665269554	109.26446126309435	106.89747301985143	105.12817860456279	107.03179104008743
05_house	T2	1.0188	1.2477	0.2289	108.81680961193548	116.96747709794825	116.38720253177866	115.75669063614876	114.56891815466801	113.84559974980614	113.51264850117336	113.14268295685527	111.87132882291468	110.60242647974061	109.60101648751483	108.69764396974743	106.95346061225742	106.17298191728918	105.27497666259619	104.37260321895032	103.74345237523701	103.33364826042906	100.23261982757077	100.22131050739468	103.10516914016112
06_hit	T4	0.8443	1.0887	0.2445	122.82077696985716	undefined	129.09219004553933	128.535717232933	127.84032724006472	127.81644223016431	127.99732859175823	129.15422214320836	130.95872930997402	132.59641557690142	132.89512091158366	131.76955546010322	129.9725521961097	127.17541134578124	123.28778089688707	118.8408785518602	111.7545527942827	107.26363515496367	102.04907926712113	104.82333042906764	99.63999740975069
07_he	T1	0.7913	1.0080	0.2167	128.3480919254542	144.52891625089578	131.2167128450451	125.37763103360646	123.41446733815997	121.56537673200661	121.45395426591334	120.64182544402436	120.39087323097272	120.52096475023954	120.9656167871885	122.08482259029772	123.45367773558252	125.28913659105842	128.04141413790074	129.43101774069817	132.86355897990083	139.39072089850265	143.49182732535047	145.21996671764953	145.8150686777351
08_mud	T2	0.7320	1.0931	0.3611	114.74159556570024	129.97348846682306	128.31851142019536	126.76184620563606	124.36022598461524	122.12245997876839	119.78592550967963	117.38792635180364	115.57395895024665	114.7783800759363	114.16721925780313	114.03092199076069	113.81010805976258	112.26482653699186	110.91826369831857	110.11449061842721	109.03763784617449	106.6581111319263	103.89868760155082	101.2193808668595	99.58928888262024
09_only	T4	0.6046	0.9140	0.3094	126.14373974363674	131.20330460739999	131.20146709558668	131.20013633766027	131.22796913758728	132.31609959947752	135.41938109365202	137.74712503025495	140.2738954865479	141.5397786067211	141.16223599709878	138.00580538727763	134.39962449374426	128.76997054227462	121.84890286602143	114.984533070411	109.25600368699826	106.0680454721881	103.70978867129102	101.96940395135869	100.36818268087265
10_eat	T2	0.6026	0.7954	0.1928	119.79276198935872	138.7976504799185	132.78835855400123	130.883316912706	129.83533703934356	128.88578368974242	127.7624857303803	125.81313600023394	123.69207595433343	122.32461947128603	120.60857109652358	118.67457783079819	116.54628418127368	114.91717391578133	113.60167002009985	111.75627653057516	109.72053197645542	108.30129587210074	106.3805911033457	108.72979656804512	undefined
11_this	T1	0.6490	0.9321	0.2831	130.68054570890436	122.66070899186869	121.8429919041782	120.41587407603096	118.82633672443106	117.49141499875635	117.06960070582515	117.74449428435766	118.34285535684337	120.13457249549441	122.86364603320041	125.70349076866253	127.25958039961704	130.32108646182587	135.16193140174525	139.46431549579717	144.2774465666407	149.66962008441055	154.16774801901215	159.30579904339547	164.03864653300403
12_sun-or-day	T2	0.6889	0.8528	0.1639	108.8378043134023	112.73562597101716	113.30810677538474	113.09517131801319	112.51587312150198	111.5259258813926	110.52258814844049	111.31215180205562	111.15557797414087	110.57859183583403	109.2205736498362	108.9930552894339	109.1554874756306	108.48251496875588	107.41509936781837	107.09371532704168	105.77122298103865	105.08218879739522	104.13250490831149	102.12247943499214	100.4147865448124
13_chicken	T1	0.6589	0.8935	0.2346	122.62982042383494	120.23981618778917	118.5426078530521	116.21120042769451	114.72123376733975	114.5794899962573	114.29150839956161	113.20336659694559	112.53302606956613	114.06984171431418	114.98395785448663	116.81376676475683	117.90578828731694	119.97278127236292	123.59359944271526	128.50701444513496	133.03827818541598	136.5093437343543	140.91646688519674	145.37774907774875	148.5408004430095
14_seven	T2	0.9580	1.2072	0.2492	112.42932344419631	137.55791727983933	130.67346406092088	124.2274084616097	121.81961473312867	118.48635724100609	117.49865166752053	115.59859890131716	115.44654795108617	112.9656344105922	113.28126600461655	112.00022633556038	110.48731111606514	108.64845051397249	106.07737843277751	103.12807375732773	102.21339200259816	102.95435046337548	102.22929624859496	99.94836321673395	101.45895964206639
15_west	T1	0.7178	0.9356	0.2178	130.82260110555663	136.42537620113032	129.19611251035894	124.72368288973178	121.46667779066183	120.47181615139084	120.11810798817294	119.74206386893388	119.23174886639093	119.46773135671661	122.91088706345623	124.24069990767964	125.66892844804124	129.00378593073987	133.7363012138142	137.1851850642236	141.90938200244307	145.9367994602271	150.49844790732132	153.48271338868167	157.72364849621232
16_elder-brother	T1	0.6555	0.9132	0.2577	135.55253073941202	134.83505390750665	129.51519601407531	126.8598916392217	127.22220764986226	127.40123016407975	126.24788355476174	125.4224635869907	125.63106455216247	126.85284657279365	128.38363427801713	130.85924202339663	134.34915456805817	137.5197754412514	140.06386728100017	143.11596530466082	146.6206048227817	148.47086674194526	150.98837967012435	153.54133378667234	158.52179031172975
17_subject	T1	0.7943	0.9923	0.1981	131.44103428983368	undefined	131.64038651035128	129.340958435224	128.56221766755175	127.94002204875666	127.20903205406744	126.45504230094318	125.96512473635133	126.1917619263789	126.20021771958747	126.83255738120593	127.98937339857976	129.67856767676315	131.56721169642552	133.47641482644744	136.0516210819613	138.65031238312503	140.99092790809604	143.40990085714202	145.70697686428306
18_drink	T1	0.8018	0.9736	0.1718	123.15268346851371	129.5277916039919	127.70403199274404	125.54859131524036	124.45205264963825	123.40251000544426	122.07266708537851	120.86478507124933	119.69579141988557	118.90158103146824	118.76208336002904	118.96680393493149	119.33612499301739	119.60580430430366	120.58545174330654	121.81284478050225	123.80993025491293	125.76645295192833	127.57256081927434	130.02331778117664	133.42525461547172
19_shore	T3	0.7083	0.9351	0.2268	99.813271301832	undefined	110.39567015068974	108.87947509646148	107.06474761881125	105.9475959873453	104.86748446798691	102.51957500539267	100.91570545630526	99.20713170797468	95.6324664771798	93.21353671148985	92.4591707089064	95.54308370948844	90.33934181692014	98.33925692087404	95.14521608349298	99.33189584546126	97.86750065847149	99.8454455268642	99.75920691745696
20_head-up	T2	0.9806	1.1153	0.1347	121.51850663404686	133.39999420872996	129.74664451773663	126.2817457654698	123.27749031773973	121.3105008174234	121.24883671977777	121.49666352471084	121.71191272812014	121.77411926688794	121.4044842312772	121.01142549402041	121.5294136863789	121.3109797817746	120.708693589929	119.7937876345882	119.22831478057898	118.48303038528321	117.5703209163429	116.52847603986156	115.81597442624508
21_not	T2	0.5818	0.9784	0.3966	116.21987685708173	undefined	121.65846961973321	124.47235695798364	123.51881856026924	122.56139750291237	121.6367339266576	119.76775927814884	119.25780632999042	119.18535072178172	118.8974400452894	117.80890352050248	118.62179821392273	115.99610965106412	112.80188917020425	110.54830033479092	107.35120324268897	103.67548306110899	102.97960715025378	111.13387449192372	106.9415695268595
22_fish	T2	0.5239	0.9256	0.4018	114.73443275992413	151.99323857706722	127.56832182777134	123.67962269863627	118.99381795863192	116.98335845471794	116.02529714968101	115.53034288802185	117.01574960035987	117.73981778015761	117.76137556516572	116.85350882922893	116.0487162724482	115.14555898445563	112.75830716237172	110.15500432691948	107.84829754687296	104.41377362564909	101.13897157715945	100.87348705634264	101.76493953890397
23_river	T2	0.7115	0.9653	0.2538	118.9200895644979	132.82538235920657	130.0180679289675	128.4043612101475	127.24648476168832	125.46349977151866	123.22323875735493	121.99270025941433	121.6059808474315	119.98662393627754	118.56743277984103	117.99132848819055	117.10862697602845	116.17749997117772	115.13875511173222	114.19704124070229	113.00384629783058	111.47807803960025	109.91962279715739	108.14341204285968	106.6299592170531
24_overcome	T2	0.6990	1.0014	0.3024	117.83742034312553	131.19926198132174	129.11459507927606	127.27016482054643	128.79790750991202	127.18264486449308	125.21687233228666	122.70764233863397	121.17903155820883	120.5733982140133	120.34029500165188	118.71984043993618	117.48088986468957	115.17078907071598	112.99441392396801	110.18681577951294	108.4685570345275	106.48464446038528	107.5372228575323	104.48204375973276	98.46585271216601
